tipo_balsa,tempo_corte_total,qtd,peca,descricao,espessura_mm,peso_kg,peso_total_kg,bloco,painel,nesting,obs_base
"RAKE","0:11:00","8","BPP-RD2-11A~11D,_14A~14D)","1.200 x 203","19","36.160","289.280","BPP","BPP","4465","R1"
"RAKE","0:20:39","12","BPP-RD2-15A~15F,_16A~16F)","361 x 203","19","10.780","129.360","BPP","BPP","4465","R1"
"RAKE","0:05:03","5","BPR-RD2A-B2A~B6A-R3","680 x 600","19","37.420","187.100","BPR","RD2A","4465","R1"
"RAKE","0:04:15","5","BPR-RD2A-B2B~B6B-R1","584 x 257","19","22.010","110.050","BPR","RD2A","4465","R1"
"RAKE","0:08:31","1","BCB2-RD-H2P-R1","12.000 x 1.015","8","764.900","764.900","BCB2","RD","3423","R1"
"RAKE","0:02:21","1","RD-HB23C-B","2.400 x 508","8","76.630","76.630","BDF4","HASTILHA","3423","R1"
"RAKE","0:04:51","4","BPR-RD1-H33~H45","1.420 x 102","8","8.390","33.560","BPR","RD1","3423","R1"
"RAKE","0:02:16","2","BPR-RD1-H46~H47-R1","1.230 x 102","8","7.440","14.880","BPR","RD1","3423","R1"
"RAKE","0:01:19","1","BPR-RD1-H48~H49-R1","1.266 x 102","8","7.750","7.750","BPR","RD1","3423","R1"
"RAKE","0:05:09","1","BPR-RD2B-H1-R5","6.456 x 749","8","303.650","303.650","BPR","RD2B","3423","R1"
"RAKE","0:01:00","1","B25-C","806 x 539","8","19.120","19.120","BPP","RS","3423","R1"
"RAKE","0:05:45","4","DEFENÇA-W-S_150_X_1830","1.830 x 150","16","34.480","137.920","ACESS_DEFENCA","ACESS_DEFENCA","3350","R1"
"RAKE","0:09:34","12","B19","580 x 342","16","12.020","144.240","BDF3","BDF3","3350","R1"
"RAKE","0:01:42","2","RFR1/RFR93-HB57-C","625 x 327","16","24.400","48.800","BPP","RFR1/RFR93","3350","R1"
"RAKE","0:04:59","6","B18","695 x 362","16","21.600","129.600","BPR","BPR","3350","R1"
"RAKE","0:01:20","2","B6","405 x 212","16","6.370","12.740","BPR","RD2A","3350","R1"
"RAKE","0:01:08","1","BPR-RD2A-H1B-R4","5.465 x 1.140","16","667.120","667.120","BPR","RD2A","3350","R1"
"RAKE","0:01:03","1","BPR-RD2B-H9","1.000 x 1.000","16","93.390","93.390","BPR","RD2B","3350","R1"
"RAKE","0:01:04","1","BPR-RD2A-TZ3-R4","450 x 2.133","16","120.420","120.420","BPR","RD2A","3350","R1"
"RAKE","0:01:04","1","BPR-RD2B-H8","1.000 x 1.000","16","93.390","93.390","BPR","RD2B","3350","R1"
"RAKE","0:01:04","1","BPR-RD2A-TZ4-R6","2.034 x 450","16","114.360","114.360","BPR","RD2A","3350","R1"
"RAKE","0:01:08","1","BPR-RD2C-H2B-R6","5.465 x 1.140","16","667.120","667.120","BPR","RD2C","3350","R1"
"RAKE","0:00:57","1","BPR-RD2C-TZ3-R4","2.133 x 450","16","120.420","120.420","BPR","RD2C","3350","R1"
"RAKE","0:01:04","1","BPR-RD2C-TZ4-R6","450 x 2.034","16","114.350","114.350","BPR","RD2C","3350","R1"
"RAKE","0:03:35","2","BPR-RP-14~15","2.805 x 102","16","35.790","71.580","BPR","RP","3350","R1"
"RAKE","0:02:10","1","RL1-H36","2.500 x 850","16","266.630","266.630","BCB4","RL1","3351","R1"
"RAKE","0:02:06","2","BDF4-H10","584 x 432","16","31.190","62.380","BDF4","BDF4","3351","R1"
"RAKE","0:02:07","2","BDF4-H11","592 x 432","16","31.630","63.260","BDF4","BDF4","3351","R1"
"RAKE","0:02:22","1","RL1-H42","2.500 x 850","16","266.630","266.630","BCE4","RL1","3351","R1"
"RAKE","0:02:11","1","BPP-QD1P-H1","925 x 732","16","59.150","59.150","BPP","RD1","3351","R1"
"RAKE","0:00:56","1","BPP-QD1P-H5","734 x 234","16","21.570","21.570","BPP","RD1","3351","R1"
"RAKE","0:02:11","1","BPP-QD1S-H1","925 x 732","16","59.150","59.150","BPP","RD1","3351","R1"
"RAKE","0:00:58","1","BPP-QD1P-H4","580 x 450","16","32.660","32.660","BPP","RD1","3351","R1"
